Entity,Code,Year,Patent applications per 1 million people - Field: All
Argentina,ARG,2019,0.15644026
Argentina,ARG,2017,0.022699097
Argentina,ARG,2020,0.11102221
Argentina,ARG,2018,0.1576094
Argentina,ARG,2016,0.02289994
Australia,AUS,2020,26.80166
Australia,AUS,2019,21.887302
Australia,AUS,2018,18.575434
Australia,AUS,2017,11.5492525
Australia,AUS,2015,5.541506
Australia,AUS,2016,9.712467
Australia,AUS,2014,3.6217098
Australia,AUS,2013,3.331633
Australia,AUS,2012,2.991737
Australia,AUS,2011,1.9680609
Australia,AUS,2010,2.316164
Austria,AUT,2020,1.5716598
Austria,AUT,2019,0.45045355
Austria,AUT,2018,1.3573865
Austria,AUT,2017,1.2503556
Austria,AUT,2016,1.0301619
Austria,AUT,2015,0.3471249
Austria,AUT,2014,0.2340258
Austria,AUT,2013,0.4717236
Austria,AUT,2012,0.118629016
Austria,AUT,2010,0.11957676
Austria,AUT,2011,0.119172454
Azerbaijan,AZE,2018,0.098497674
Belgium,BEL,2020,0.25947705
Belgium,BEL,2019,0.17375335
Belgium,BEL,2018,0.69877553
Belgium,BEL,2017,0.1756776
Belgium,BEL,2016,0.088363916
Belgium,BEL,2014,0.08947163
Brazil,BRA,2020,0.45967025
Brazil,BRA,2019,0.59967077
Brazil,BRA,2018,0.6518638
Brazil,BRA,2017,0.38847998
Brazil,BRA,2016,0.37223318
Brazil,BRA,2015,0.27292016
Brazil,BRA,2014,0.15236436
Brazil,BRA,2013,0.19829293
Brazil,BRA,2012,0.22002453
Brazil,BRA,2010,0.10185711
Brazil,BRA,2011,0.17155662
Brunei,BRN,2014,2.3999808
Bulgaria,BGR,2011,0.132571
Canada,CAN,2020,15.149634
Canada,CAN,2019,19.614853
Canada,CAN,2018,18.117868
Canada,CAN,2017,11.407673
Canada,CAN,2016,9.110159
Canada,CAN,2015,5.1774144
Canada,CAN,2014,3.4458783
Canada,CAN,2012,2.3348405
Canada,CAN,2013,3.1656675
Canada,CAN,2011,2.3598967
Canada,CAN,2010,1.8549371
Chile,CHL,2018,0.053471785
Chile,CHL,2015,0.16787799
Chile,CHL,2014,0.056538355
China,CHN,2020,45.200123
China,CHN,2019,30.453684
China,CHN,2018,19.55444
China,CHN,2017,10.379529
China,CHN,2014,1.843069
China,CHN,2012,1.0295919
China,CHN,2016,5.659504
China,CHN,2015,2.861416
China,CHN,2013,1.4809966
China,CHN,2011,0.88350457
China,CHN,2010,0.5659434
Colombia,COL,2019,0.039850637
Colombia,COL,2017,0.02068181
Colombia,COL,2015,0.042445067
Costa Rica,CRI,2019,0.19667512
Croatia,HRV,2015,0.2350275
Croatia,HRV,2011,0.22978796
Czechia,CZE,2013,0.09510633
Denmark,DNK,2020,2.7464802
Denmark,DNK,2019,1.5528275
Denmark,DNK,2018,2.7745557
Denmark,DNK,2017,2.788775
Denmark,DNK,2016,2.2779617
Denmark,DNK,2015,4.0508685
Denmark,DNK,2013,1.4221228
Denmark,DNK,2014,2.123648
Denmark,DNK,2012,1.0712459
Denmark,DNK,2011,1.6140556
Denmark,DNK,2010,1.6213733
Egypt,EGY,2011,0.011210755
Finland,FIN,2020,3.978683
Finland,FIN,2019,3.9843965
Finland,FIN,2017,3.086338
Finland,FIN,2018,5.2579427
Finland,FIN,2016,1.2738351
Finland,FIN,2015,1.8249984
Finland,FIN,2014,0.9155101
Finland,FIN,2013,0.36772323
Finland,FIN,2011,1.11355
Finland,FIN,2010,1.1187186
Finland,FIN,2012,1.4776874
France,FRA,2020,4.311411
France,FRA,2017,1.6992991
France,FRA,2015,0.59552014
France,FRA,2011,0.3663863
France,FRA,2019,3.66461
France,FRA,2018,3.0025914
France,FRA,2016,1.1095601
France,FRA,2014,0.5189618
France,FRA,2013,0.48945943
France,FRA,2012,0.41223115
France,FRA,2010,0.32028407
Georgia,GEO,2013,0.26412925
Germany,DEU,2020,12.192636
Germany,DEU,2019,11.545657
Germany,DEU,2018,8.480434
Germany,DEU,2016,3.0122154
Germany,DEU,2017,5.119555
Germany,DEU,2015,1.5352143
Germany,DEU,2014,0.95286
Germany,DEU,2013,0.8569967
Germany,DEU,2012,0.67446953
Germany,DEU,2011,0.56494826
Germany,DEU,2010,0.5533348
Greece,GRC,2019,0.18914272
Greece,GRC,2018,0.7523552
Greece,GRC,2020,0.28538182
Greece,GRC,2017,1.0287844
Greece,GRC,2016,0.18605098
Greece,GRC,2014,0.09205584
Hong Kong,HKG,2019,0.13340233
Hong Kong,HKG,2018,1.7376049
Hong Kong,HKG,2017,0.13402116
Hong Kong,HKG,2016,0.53792906
Hong Kong,HKG,2011,0.13936563
