Entity,Code,year,Day,Training compute (petaFLOP),Domain
6-layer MLP (MNIST),,2010,2010-03-01,0.131,Vision
ADALINE,,1960,1960-06-30,9.9e-12,Vision
ADAM (CIFAR-10),,2014,2014-12-22,60.5,Vision
ALBERT-xxlarge,,2020,2020-02-09,2390000,Language
ALVINN,,1989,1989-12-01,0.0000812,Driving
AlexNet,,2012,2012-09-30,470,Vision
AlexaTM 20B,,2022,2022-08-02,204000000,Language
AlphaCode,,2022,2022-02-02,405000000,Language
AlphaFold,,2020,2020-01-15,100000,Other
AlphaGo Fan,,2015,2015-10-01,380000.03,Games
AlphaGo Lee,,2016,2016-01-27,1900000,Games
AlphaGo Master,,2017,2017-01-01,150000000,Games
AlphaGo Zero,,2017,2017-10-18,341000000,Games
AlphaStar,,2019,2019-10-30,202000020,Games
AlphaZero,,2017,2017-12-05,36700000,Games
AmoebaNet-A (F=448),,2018,2018-02-05,385000,Vision
BERT-Large,,2018,2018-10-11,285000,Language
BLOOM,,2022,2022-11-08,180000000,Language
Back-propagation,,1986,1986-10-01,1.24e-7,Other
BiLSTM for Speech,,2005,2005-08-01,0.024100002,Speech
BigGAN-deep 512x512,,2018,2018-09-28,3000000,Drawing
CLIP (ViT L/14@336px),,2021,2021-01-05,10500000,Multimodal
Chinchilla,,2022,2022-03-29,576000000,Language
Claude 2,,2023,2023-07-11,3870000000,Language
ConSERT,,2021,2021-05-25,280000,Language
DALL-E,,2021,2021-01-05,47000000,Drawing
DQN,,2013,2013-12-19,2.3000002,Games
Decision tree (classification),,2001,2001-12-08,0.063,Vision
Decoupled weight decay regularization,,2019,2019-01-04,2470.0002,Vision
DeepSpeech2 (English),,2015,2015-12-08,26000,Speech
Denoising Diffusion Probabilistic Models (LSUN Bedroom),,2021,2021-06-11,95000.01,Drawing
Dropout (CIFAR),,2012,2012-06-03,4.27,Vision
Dropout (ImageNet),,2012,2012-06-03,273,Vision
Dropout (MNIST),,2012,2012-06-03,6.0400004,Vision
ELECTRA,,2020,2020-03-23,200000,Language
EfficientNetV2,,2021,2021-06-23,6220,Vision
FLAN,,2021,2021-09-03,49000004,Language
Falcon 180B,,2023,2023-09-06,3780000000,Language
Falcon-40B,,2023,2023-03-15,240000000,Language
Feedforward NN,,2010,2010-05-13,0.35000002,Vision
Flamingo,,2022,2022-04-29,270000000,Multimodal
Fuzzy NN,,1992,1992-09-01,0.0000014,Speech
GANs,,2014,2014-06-10,518,Drawing
GNMT,,2016,2016-09-26,6900000,Language
GPT,,2018,2018-06-01,17600,Language
GPT-2 (1542M),,2019,2019-02-14,1490000,Language
GPT-3 175B (davinci),,2020,2020-05-28,314000000,Language
GPT-3.5 (text-davinci-003),,2022,2022-11-28,2580000000,Language
GPT-4,,2023,2023-03-15,21000000000,Multimodal
GPT-NeoX-20B,,2022,2022-02-09,93200010,Language
Gato,,2022,2022-05-12,5440000,Multimodal
GoogLeNet / InceptionV1,,2015,2015-06-07,1560,Vision
Hanabi 4 player,,2019,2019-02-01,4300,Games
HuBERT,,2021,2021-07-27,5540000,Language
Image Classification with the Fisher Vector: Theory and Practice,,2013,2013-06-12,0.090799995,Vision
