Entity,Code,Year,Estimated investment - Field: All
Albania,ALB,2019,7419258
Albania,ALB,2016,2258014
Albania,ALB,2020,4187914
Albania,ALB,2014,4578426
Argentina,ARG,2021,17000000
Argentina,ARG,2019,4239576
Argentina,ARG,2017,5527297
Argentina,ARG,2020,26174465
Argentina,ARG,2018,1079101
Argentina,ARG,2016,1129007
Argentina,ARG,2014,1144606
Argentina,ARG,2013,1163175
Argentina,ARG,2012,0
Argentina,ARG,2011,1204636
Armenia,ARM,2021,12000000
Armenia,ARM,2020,3140936
Australia,AUS,2021,2333000000
Australia,AUS,2020,485798065
Australia,AUS,2019,272392746
Australia,AUS,2018,63666986
Australia,AUS,2017,57483889
Australia,AUS,2015,65165266
Australia,AUS,2016,91449560
Australia,AUS,2014,0
Australia,AUS,2013,0
Australia,AUS,2012,61371082
Austria,AUT,2021,276000000
Austria,AUT,2020,132966281
Austria,AUT,2019,105989395
Austria,AUT,2018,59350580
Austria,AUT,2017,13265513
Austria,AUT,2016,6774041
Austria,AUT,2015,2286501
Austria,AUT,2014,5723032
Austria,AUT,2013,3489524
Austria,AUT,2012,4720852
Austria,AUT,2010,2485328
Bahrain,BHR,2021,4425000000
Bahrain,BHR,2020,10469786
Bangladesh,BGD,2021,0
Bangladesh,BGD,2020,0
Bangladesh,BGD,2019,1059894
Bangladesh,BGD,2017,0
Bangladesh,BGD,2016,0
Barbados,BRB,2016,30483187
Belarus,BLR,2017,8843675
Belarus,BLR,2016,2258014
Belarus,BLR,2012,2360426
Belgium,BEL,2021,503000000
Belgium,BEL,2020,308858684
Belgium,BEL,2019,170642926
Belgium,BEL,2018,37768551
Belgium,BEL,2017,259782961
Belgium,BEL,2016,76772470
Belgium,BEL,2015,128044031
Belgium,BEL,2014,28615162
Belgium,BEL,2013,8142222
Belgium,BEL,2012,10621918
Belgium,BEL,2010,13669306
Belize,BLZ,2019,10598940
Bermuda,BMU,2017,86225834
Bermuda,BMU,2014,30904375
Bosnia and Herzegovina,BIH,2021,0
Bosnia and Herzegovina,BIH,2020,0
Bosnia and Herzegovina,BIH,2016,0
Botswana,BWA,2021,1000000
Botswana,BWA,2019,1059894
Botswana,BWA,2016,0
Botswana,BWA,2015,1143250
Botswana,BWA,2014,1144606
Brazil,BRA,2021,385000000
Brazil,BRA,2020,540240952
Brazil,BRA,2019,423957581
Brazil,BRA,2018,310781220
Brazil,BRA,2017,131549670
Brazil,BRA,2016,13548083
Brazil,BRA,2015,168057790
Brazil,BRA,2014,20602917
Brazil,BRA,2013,1163175
Brazil,BRA,2012,4720852
Brazil,BRA,2010,1242664
Bulgaria,BGR,2021,1000000
Bulgaria,BGR,2019,2119788
Bulgaria,BGR,2018,130571276
Bulgaria,BGR,2017,1105459
Bulgaria,BGR,2016,0
Bulgaria,BGR,2015,0
Bulgaria,BGR,2014,1144606
Bulgaria,BGR,2013,0
Bulgaria,BGR,2012,0
Bulgaria,BGR,2011,0
Bulgaria,BGR,2010,0
Cambodia,KHM,2018,0
Canada,CAN,2021,3278000000
Canada,CAN,2020,1639568470
Canada,CAN,2019,1515648353
Canada,CAN,2018,1513979346
Canada,CAN,2017,769399749
Canada,CAN,2016,1633673001
Canada,CAN,2015,349834584
Canada,CAN,2014,192293888
Canada,CAN,2012,1267548878
Canada,CAN,2013,143070469
Canada,CAN,2011,240927140
Canada,CAN,2010,182671628
Cayman Islands,CYM,2017,5527297
Chile,CHL,2021,268000000
Chile,CHL,2020,94228073
Chile,CHL,2019,32856713
Chile,CHL,2018,88486320
Chile,CHL,2017,8843675
Chile,CHL,2016,0
Chile,CHL,2015,0
Chile,CHL,2014,114460648
Chile,CHL,2013,1163175
Chile,CHL,2012,3540639
Chile,CHL,2011,4818543
Chile,CHL,2010,9941313
China,CHN,2021,22975000000
China,CHN,2020,14435740780
China,CHN,2019,9492410244
China,CHN,2018,18382493339
China,CHN,2017,10975001024
China,CHN,2014,2019085828
China,CHN,2012,50749164
China,CHN,2016,7357738043
China,CHN,2015,2457988087
China,CHN,2013,207045069
China,CHN,2011,142147012
China,CHN,2010,130479735
Colombia,COL,2021,13000000
Colombia,COL,2020,2093957
Colombia,COL,2019,3179682
Colombia,COL,2018,0
Colombia,COL,2017,1105459
Colombia,COL,2016,0
Colombia,COL,2014,0
Colombia,COL,2013,0
Costa Rica,CRI,2012,5901066
Croatia,HRV,2021,197000000
Croatia,HRV,2020,1046979
Croatia,HRV,2019,3179682
Croatia,HRV,2018,6474609
Cyprus,CYP,2021,21000000
Cyprus,CYP,2020,16751657
Cyprus,CYP,2019,3179682
Cyprus,CYP,2018,3237304
Cyprus,CYP,2016,1129007
Cyprus,CYP,2015,2286501
Cyprus,CYP,2011,0
Cyprus,CYP,2010,0
Czechia,CZE,2021,60000000
Czechia,CZE,2020,53395908
Czechia,CZE,2019,9539046
Czechia,CZE,2017,9949135
Czechia,CZE,2016,2258014
Czechia,CZE,2014,0
Czechia,CZE,2011,1204636
Czechia,CZE,2018,5395507
Czechia,CZE,2015,2286501
Czechia,CZE,2013,20937142
Denmark,DNK,2021,420000000
Denmark,DNK,2020,275355369
Denmark,DNK,2019,63593637
Denmark,DNK,2018,232006814
Denmark,DNK,2017,84014915
Denmark,DNK,2016,29354180
Denmark,DNK,2015,30867757
Denmark,DNK,2013,18610793
Denmark,DNK,2014,0
Denmark,DNK,2012,1180213
Dominican Republic,DOM,2021,0
Dominican Republic,DOM,2020,0
Ecuador,ECU,2021,0
Ecuador,ECU,2017,0
Egypt,EGY,2021,69000000
Egypt,EGY,2020,1046979
Egypt,EGY,2019,2119788
Egypt,EGY,2018,0
Egypt,EGY,2017,0
Egypt,EGY,2016,0
El Salvador,SLV,2021,0
El Salvador,SLV,2020,0
Estonia,EST,2021,105000000
Estonia,EST,2020,25127486
Estonia,EST,2019,16958303
Estonia,EST,2018,42084957
Estonia,EST,2017,4421838
Estonia,EST,2016,6774041
Estonia,EST,2015,12575753
Estonia,EST,2014,25181343
Estonia,EST,2013,0
Estonia,EST,2012,0
Finland,FIN,2021,95000000
Finland,FIN,2020,272214433
Finland,FIN,2019,78432153
Finland,FIN,2017,75171240
Finland,FIN,2018,36689450
Finland,FIN,2016,24838152
Finland,FIN,2015,51446262
Finland,FIN,2014,1144606
Finland,FIN,2013,18610793
Finland,FIN,2011,0
Finland,FIN,2010,6213321
Finland,FIN,2012,2360426
France,FRA,2021,4003000000
France,FRA,2020,3107432451
